Gruppe;Titel;Vorname;Nachname;Titel2;Nutzernamen;Privatadr;Privatnr;E-Mail;Anmeldedatum;Studiengänge;matrikelnummer
Gruppe 1;;Houssem Said;Mustermann;;LUH-001;;;max.mustermann@muster.mail.de;;;12345678
Gruppe 2;;Ahmed;Mustermann;;LUH-002;;;max.mustermann@muster.mail.de;;;12345679
Gruppe 3;;Ahmad;Mustermann;;LUH-003;;;max.mustermann@muster.mail.de;;;12345680
Gruppe 4;;Suhaib;Mustermann;;LUH-004;;;max.mustermann@muster.mail.de;;;12345681
Gruppe 5;;Samer;Mustermann;;LUH-005;;;max.mustermann@muster.mail.de;;;12345682
Gruppe 6;;Bilal;Mustermann;;LUH-006;;;max.mustermann@muster.mail.de;;;12345683
Gruppe 7;;Amr;Mustermann;;LUH-007;;;max.mustermann@muster.mail.de;;;12345684
Gruppe 8;;Ehab;Mustermann;;LUH-008;;;max.mustermann@muster.mail.de;;;12345685
Gruppe 9;;Abdullah;Mustermann;;LUH-009;;;max.mustermann@muster.mail.de;;;12345686
Gruppe 10;;Sara;Mustermann;;LUH-010;;;max.mustermann@muster.mail.de;;;12345687
Gruppe 11;;Mansoureh;Mustermann;;LUH-011;;;max.mustermann@muster.mail.de;;;12345688
Gruppe 12;;Mohamad;Mustermann;;LUH-012;;;max.mustermann@muster.mail.de;;;12345689
Gruppe 13;;Omar;Mustermann;;LUH-013;;;max.mustermann@muster.mail.de;;;12345690
Gruppe 14;;Ahmad;Mustermann;;LUH-014;;;max.mustermann@muster.mail.de;;;12345691
Gruppe 15;;Alwin;Mustermann;;LUH-015;;;max.mustermann@muster.mail.de;;;12345692
Gruppe 16;;Yusuf;Mustermann;;LUH-016;;;max.mustermann@muster.mail.de;;;12345693
Gruppe 17;;Sodeh;Mustermann;;LUH-017;;;max.mustermann@muster.mail.de;;;12345694
Gruppe 18;;Tristan;Mustermann;;LUH-018;;;max.mustermann@muster.mail.de;;;12345695
Gruppe 19;;Max;Mustermann;;LUH-019;;;max.mustermann@muster.mail.de;;;12345696
Gruppe 20;;Jafar;Mustermann;;LUH-020;;;max.mustermann@muster.mail.de;;;12345697
Gruppe 21;;Arij;Mustermann;;LUH-021;;;max.mustermann@muster.mail.de;;;12345698
Gruppe 22;;Frederik;Mustermann;;LUH-022;;;max.mustermann@muster.mail.de;;;12345699
Gruppe 23;;Mathis;Mustermann;;LUH-023;;;max.mustermann@muster.mail.de;;;12345700
Gruppe 24;;Wadia;Mustermann;;LUH-024;;;max.mustermann@muster.mail.de;;;12345701
Gruppe 25;;Max;Mustermann;;LUH-025;;;max.mustermann@muster.mail.de;;;12345702
Gruppe 26;;Johannes;Mustermann;;LUH-026;;;max.mustermann@muster.mail.de;;;12345703
Gruppe 27;;Tillman;Mustermann;;LUH-027;;;max.mustermann@muster.mail.de;;;12345704
Gruppe 28;;Sven;Mustermann;;LUH-028;;;max.mustermann@muster.mail.de;;;12345705
Gruppe 29;;Kadir;Mustermann;;LUH-029;;;max.mustermann@muster.mail.de;;;12345706
Gruppe 30;;Jielin;Mustermann;;LUH-030;;;max.mustermann@muster.mail.de;;;12345707
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
